X Y Z
0.92326808 -0.53877610 0.00000000
0.89189065 -0.46316767 0.00000000
1.25427592 -0.59781098 0.00000000
1.24429941 -0.43256459 0.00000000
1.62523806 -0.23873813 0.00000000
1.59428334 -0.23246744 0.00000000
1.27421224 -0.38461044 0.00000000
1.67934549 -0.29459140 0.00000000
0.47994089 -0.26492819 0.00000000
1.50677299 -0.38342315 0.00000000
0.39311704 -0.41970512 0.00000000
0.16369632 0.20392796 0.00000000
2.05927277 0.44657058 0.00000000
-0.09725668 0.38176504 0.00000000
1.58782423 -0.19694249 0.00000000
0.48503023 -0.37371877 0.00000000
0.50969106 -0.38432118 0.00000000
1.78303802 -0.00529700 0.00000000
1.98447633 0.38445276 0.00000000
0.42911881 -0.28530306 0.00000000
1.68013394 -0.16282660 0.00000000
0.41057244 -0.11818074 0.00000000
0.06350762 0.14327897 0.00000000
0.02224706 0.42547110 0.00000000
1.64987183 -0.30603036 0.00000000
0.12746672 -0.03157876 0.00000000
1.58693123 -0.36941853 0.00000000
1.98652327 -0.03693793 0.00000000
1.68538225 -0.26492149 0.00000000
0.91903639 -0.52969950 0.00000000
0.03784794 0.47816262 0.00000000
1.51227760 -0.42309779 0.00000000
0.96051943 -0.54356140 0.00000000
1.44322288 -0.43280852 0.00000000
1.34648287 -0.50252664 0.00000000
0.27219489 -0.03473755 0.00000000
0.04505135 0.24285538 0.00000000
1.66564882 -0.15716133 0.00000000
1.29285789 -0.47609091 0.00000000
0.17852318 -0.11992680 0.00000000
1.85037768 0.27114239 0.00000000
1.40209711 -0.30208966 0.00000000
0.53987586 -0.34966612 0.00000000
1.56263256 -0.42606401 0.00000000
0.92684478 -0.43561423 0.00000000
0.04152267 0.42914751 0.00000000
0.65506864 -0.54053694 0.00000000
0.49543351 -0.29770207 0.00000000
1.66590047 -0.35846958 0.00000000
1.30457771 -0.51555550 0.00000000
2.06141782 0.52665532 0.00000000
1.87595999 0.46271572 0.00000000
1.27338159 -0.40302745 0.00000000
0.15458389 -0.25397155 0.00000000
1.87405503 0.40753868 0.00000000
1.90368235 0.09431337 0.00000000
-0.00410380 0.25484011 0.00000000
0.10376114 0.05963471 0.00000000
0.02405094 0.19421768 0.00000000
0.73570579 -0.49024144 0.00000000
1.05128551 -0.52594960 0.00000000
-0.00413354 0.49213612 0.00000000
0.06888360 -0.08922535 0.00000000
2.05984688 0.45234457 0.00000000
0.62350875 -0.46643451 0.00000000
-0.00670345 0.08383702 0.00000000
0.02360205 0.41767082 0.00000000
1.93407238 -0.02084977 0.00000000
1.73947120 -0.19716740 0.00000000
0.75637841 -0.68485385 0.00000000
0.33361498 -0.34464130 0.00000000
1.91671050 0.04362399 0.00000000
1.97795451 0.32794419 0.00000000
1.65294027 -0.18391138 0.00000000
0.01188217 -0.00289773 0.00000000
1.75760293 -0.18713161 0.00000000
1.97153616 0.02100134 0.00000000
0.03280092 0.31410310 0.00000000
0.57777077 -0.45728984 0.00000000
0.08955780 0.10034737 0.00000000
1.02662921 -0.51508766 0.00000000
1.50368476 -0.48696125 0.00000000
0.28963041 -0.18270211 0.00000000
1.23418367 -0.43871671 0.00000000
1.18042469 -0.65441829 0.00000000
0.36904866 -0.35800019 0.00000000
1.56617737 -0.44824949 0.00000000
0.06630816 -0.06712969 0.00000000
0.03518176 0.43679547 0.00000000
0.04060939 0.12065803 0.00000000
1.09338152 -0.40280941 0.00000000
0.78660220 -0.34744006 0.00000000
0.48210269 -0.32422945 0.00000000
1.03845477 -0.54243237 0.00000000
0.45244086 -0.27629912 0.00000000
